Aluminum	Air magic, Against Loneliness. Joy, Happiness
Brass	New ideas, Strength, Hex, Increase of power
Bronze	Psychic ability, Protection or property
Chrome	Adaptation
Copper	Releasing, Healing, Intelligence, Increasing power or energy, Wisdom, Protection, Self-esteem, Luck, Attracting Love and Money. Beauty, Art, Negotiations
Electrum	Take Action
Gold	Abundance, Wealth, Wisdom, Energy, Purification, Love, Warmth, Prosperity, Male fertility, Self-confidence, Authority, Creativity, Longevity, Comfort, Increase power.
Iron	Protection, Strength, Change, Banishing, Promote energy, Will power, Courage, Aggression, Win in competition, Self-defense, New beginnings, Speed
Kunzite	Balance
Lead	Protective magic, Grows business, Provides stability, Personal perseverance, Banishes Negativity, Protection.
Lodestone	Protection, Fidelity
Nickel	Increases the energy of a spell
Palladium	Increasing Wisdom, General Knowledge and Psychic power. Promotes safe travel.
Pewter	Divination
Platinum	Wealth, Prosperity, Balance, Meditation.
Silver	Past life, Femininity, Menstrual cycles, Female fertility, Emotions, Lunar magic, Divination, Intuition, Protection from negative energy, Increases psychic abilities.
Steel	Protection, Binding, Defensive magic
Tin	Prosperity in business, Abundance, Attracting what you desire, Regeneration, Rejuvenation, Wisdom
Titanium	Protection, Health
