Adventurine	Attracts Prosperity and Money
Aventurine Orange	Creativity, Motivation, Decisiveness, Amplifies leadership qualities. 
Actinolite	Balance, Harmony, Patience, Self-worth
Adamite	Courage, Emotional Issues, Inner Strength, Problem Solving, Prosperity
Adularia	Clairvoyance, Divination, Guidance, Health, Intuition, Longevity, Soul Searching, Soul Travel, Wealth
Agate	Overcoming Envy, Well-being, Balance, Clarity, Courage, Courage, Creativity, Energizer, Fertility, Good Manners, Growing Plants, Happiness, Healing, Health, Intelligence, Longevity, Making Friends, Prosperity, Protection, Restoration Of Energy, Strength, Support, Truth, Ward Anger, Wealth
Agnitite	Life Force, Purify, Spiritual Light
Agrellite	Confidence, Distant Healing, Independence, Potential, Self-Respect
Alabaster	Clarity, Composure, Forgiveness, Meditation, Mental Balance
Alexandrite	Courage, Forgiveness, Good Fortune, Happiness, Sexual Powers, Success
Alum	Ill Wishes, Protection, Purification, Ward Negativity
Amazonite	Success, Truth, Honor, Communication, Trust. Enhances Intuition, Creative Ability, and Psychic Ability, Balance, Harmony, Hope, Thinking
Amber	Wisdom, Happiness, Balance, Infection, Lift The Spirit, Physical strength, Self-confidence, Will power, Positive Energy, Longevity.
Amethyst	New beginnings, Fertility,Stability, Inner Calm, Insights, Intuition, Meditation, Balance, Dreaming. Protects against psychic attacks. Known as "Sobriety Stone", Spiritual cleansing,Dispelling negativity.
Ametrine	Healing, Intellect, Meditation, Removing negativity, Understanding
Angelite	Protects, strengthens degenerate organs, excellent for creative people.
Apache Tear	Grounding, Centering, Promoting Peace, Protection, Good Luck, Finding the Hidden, Concealment, Healing emotional wounds, Repel Negativity
Aqua Aura	Cleanse Chakra, affinity with water, restore balance.
Aquamarine	Psychic Powers, Cleansing, Purifying, Good Health, Accidents, Banish Fears, Compassion, Confidence, Courage, Happiness, Inspiration, Self-awareness, Imagination, Phobias, Thinking, Travel.
Aragonite	Clarification, Concentration, Focus, Will power, Patience
Aventurine	Creativity, Imagination, Prosperity, Business success, Intellect, Luck, Calm, Balance, Healing Emotions
Azurite	Intuition, Personal Stress, Power, Healing, Spiritual Guidance, Psychic awareness.
Barite	Anxious, Communication, Conserve Energy, Immune Problems, Obstacles, Relationships, Rituals, Spells, Stress
